Year,Scenario,Eligible_Beneficiaries,Ramp_Pct,Enrolled,Annual_Cost_B,Cumulative_Cost_B
2027,LOW,11137500.0,0.05,490050.0,1.440747,1.440747
2028,LOW,11137500.0,0.12,1176120.0,3.4577928,4.8985398
2029,LOW,11137500.0,0.2,1960200.0,5.762988,10.6615278
2030,LOW,11137500.0,0.28,2744280.0000000005,8.068183200000002,18.729711
2031,LOW,11137500.0,0.34,3332340.0000000005,9.797079600000002,28.5267906
2032,LOW,11137500.0,0.4,3920400.0,11.525976,40.0527666
2033,LOW,11137500.0,0.4,3920400.0,11.525976,51.5787426
2034,LOW,11137500.0,0.4,3920400.0,11.525976,63.1047186
2035,LOW,11137500.0,0.4,3920400.0,11.525976,74.6306946
2036,LOW,11137500.0,0.4,3920400.0,11.525976,86.1566706
2027,MID,13179375.000000002,0.05,579892.5000000001,2.0876130000000006,2.0876130000000006
2028,MID,13179375.000000002,0.12,1391742.0000000002,5.010271200000001,7.097884200000002
2029,MID,13179375.000000002,0.2,2319570.0000000005,8.350452000000002,15.448336200000004
2030,MID,13179375.000000002,0.28,3247398.000000001,11.690632800000003,27.138969000000007
2031,MID,13179375.000000002,0.34,3943269.000000001,14.195768400000004,41.334737400000016
2032,MID,13179375.000000002,0.4,4639140.000000001,16.700904000000005,58.03564140000002
2033,MID,13179375.000000002,0.4,4639140.000000001,16.700904000000005,74.73654540000001
2034,MID,13179375.000000002,0.4,4639140.000000001,16.700904000000005,91.43744940000002
2035,MID,13179375.000000002,0.4,4639140.000000001,16.700904000000005,108.13835340000001
2036,MID,13179375.000000002,0.4,4639140.000000001,16.700904000000005,124.83925740000002
2027,HIGH,15390000.0,0.05,677160.0,2.844072,2.844072
2028,HIGH,15390000.0,0.12,1625184.0,6.8257728,9.6698448
2029,HIGH,15390000.0,0.2,2708640.0,11.376288,21.0461328
2030,HIGH,15390000.0,0.28,3792096.0,15.9268032,36.972936
2031,HIGH,15390000.0,0.34,4604688.0,19.3396896,56.3126256
2032,HIGH,15390000.0,0.4,5417280.0,22.752576,79.0652016
2033,HIGH,15390000.0,0.4,5417280.0,22.752576,101.8177776
2034,HIGH,15390000.0,0.4,5417280.0,22.752576,124.5703536
2035,HIGH,15390000.0,0.4,5417280.0,22.752576,147.3229296
2036,HIGH,15390000.0,0.4,5417280.0,22.752576,170.0755056
