parameter,value,savings_billions,delta_vs_base
shoppable_share,0.15,12.6,-12.6
shoppable_share,0.2,16.8,-8.4
shoppable_share,0.25,21.0,-4.2
shoppable_share,0.3,25.2,0.0
shoppable_share,0.35,29.4,4.2
shoppable_share,0.4,33.6,8.4
shoppable_share,0.45,37.8,12.6
wedge,0.2,10.1,-15.1
wedge,0.33,16.6,-8.6
wedge,0.4,20.2,-5.0
wedge,0.5,25.2,0.0
wedge,0.6,30.2,5.0
wedge,0.67,33.8,8.6
wedge,0.75,37.8,12.6
addressable_share,0.5,16.8,-8.4
addressable_share,0.6,20.2,-5.0
addressable_share,0.7,23.5,-1.7
addressable_share,0.75,25.2,0.0
addressable_share,0.8,26.9,1.7
addressable_share,0.85,28.6,3.4
addressable_share,0.9,30.2,5.0
overlap_factor,0.7,20.7,-4.4
overlap_factor,0.75,22.2,-3.0
overlap_factor,0.8,23.7,-1.5
overlap_factor,0.85,25.2,0.0
overlap_factor,0.9,26.7,1.5
overlap_factor,0.95,28.2,3.0
overlap_factor,1.0,29.6,4.4
