INS_CARRIER_NAME,n_contracts,covered_sum,brok_tot,premium_sum,per_life
UNITEDHEALTHCARE INSURANCE COMPANY,5456,3847419.0,418044390.0,123780316.0,108.65580016109502
CIGNA HEALTH AND LIFE INSURANCE COMPANY,5097,2309801.0,347928756.0,1235540594.0,150.63148556953607
BLUE CROSS OF CALIFORNIA,1295,656040.0,173668904.0,15037760.0,264.7230412779709
CIGNA HEALTH AND LIFE INSURANCE COMPANY AND AFFILIATES,2520,3162487.0,147259691.0,1407319606.0,46.564520581428475
AETNA LIFE INSURANCE COMPANY,1887,1634470.0,133797750.0,266580523.0,81.86002190312456
METROPOLITAN LIFE INSURANCE COMPANY,2215,5624064.0,93759676.0,97099943.0,16.67116092562247
BLUECROSS BLUESHIELD OF TEXAS,1077,508056.0,84775140.0,368253412.0,166.8618026359299
BLUECROSS BLUESHIELD OF ILLINOIS,1080,561778.0,81462603.0,1075466372.0,145.0085318399795
UNITED HEALTHCARE INSURANCE COMPANY,1124,1058268.0,75232138.0,2659251513.0,71.08987326461728
AETNA LIFE INSURANCE CO.,1495,1688109.0,72769286.0,245018457.0,43.106983020646176
"KAISER FOUNDATION HEALTH PLAN, INC.",3006,984352.0,70484675.0,27587802.0,71.60515242514873
KAISER FOUNDATION HEALTH PLAN INC,2813,1275568.0,67530282.0,25846771.0,52.941342209901784
"BLUE CROSS BLUE SHIELD OF MASSACHUSETTS, INC.",665,356583.0,59355415.0,2353709225.0,166.4560985801342
PRINCIPAL LIFE INSURANCE COMPANY,2303,752337.0,53857389.0,4032779.0,71.58678756993208
KAISER FOUNDATION HEALTH PLAN INC.,1682,707253.0,51583977.0,9482992.0,72.93567789744264
THE LINCOLN NATIONAL LIFE INSURANCE COMPANY,132,44186.0,51433438.0,0.0,1164.0211379169873
BLUE CROSS BLUE SHIELD OF MICHIGAN,874,472310.0,43139240.0,1354994625.0,91.33670682390803
CALIFORNIA PHYSICIANS SERVICE,408,157998.0,42316891.0,0.0,267.8318143267636
BLUE CROSS BLUE SHIELD OF FLORIDA,691,100613.0,32160179.0,1049468523.0,319.6423821971316
ANTHEM BLUE CROSS LIFE AND HEALTH INSURANCE COMPANY,240,219949.0,31897702.0,0.0,145.0231735538693
BLUE CROSS BLUE SHIELD OF ILLINOIS,309,288143.0,28685943.0,874717918.0,99.5545371568978
"EMPIRE HEALTHCHOICE ASSURANCE, INC.",211,124413.0,26749897.0,16729376.0,215.0088575952674
CALIFORNIA PHYSICIANS' SERVICE,231,107149.0,23526265.0,0.0,219.56588488926636
"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",328,262908.0,23350998.0,391030063.0,88.81813410014149
THE GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,488,203556.0,23036636.0,1544864.0,113.17099962663838
RELIASTAR LIFE INSURANCE COMPANY,135,342921.0,22133604.0,0.0,64.54432361972583
BLUE CROSS BLUE SHIELD OF TEXAS,287,186930.0,19983750.0,169877546.0,106.90499117316642
HEALTH CARE SERVICE CORPORATION,278,144822.0,19747023.0,130877195.0,136.35375150184365
UNITED HEALTH CARE INSURANCE CO,1,67427.0,19176539.0,400774791.0,284.4044522224035
INDEPENDENCE BLUE CROSS,334,126541.0,18923667.0,785971579.0,149.54573616456327
