state,n_plans,total_covered_lives,total_broker_comp_usd,total_premium_usd
CA,6843,8500581,849905680.0,1750161477.0
TX,4067,4892143,406562210.0,3961553018.0
NY,2986,3463109,333903038.0,1964576286.0
IL,2458,2475840,270413390.0,2426472529.0
FL,2661,3921390,243236399.0,2456696282.0
MA,1668,1417644,188797064.0,4227637280.0
PA,1832,3834276,180742905.0,2124520550.0
OH,1738,1428472,151180011.0,940465935.0
MI,1765,1794889,131407827.0,2365677174.0
GA,1374,1252047,123312067.0,1973367918.0
VA,1363,1957016,121530338.0,220355740.0
TN,1052,2504235,120821545.0,712973112.0
NJ,1190,1628220,118970490.0,423339960.0
AZ,801,1190901,82775279.0,111367198.0
NC,1210,1065900,77127291.0,216702339.0
MD,876,595710,75016529.0,189842867.0
WA,899,1361666,74255597.0,281663751.0
MO,802,718707,65397017.0,510303154.0
LA,575,427848,62494794.0,891352754.0
WI,932,585709,57388346.0,361696012.0
CT,615,677329,51247052.0,140204887.0
CO,719,466609,49653137.0,43376038.0
MN,889,564349,49561143.0,19297565.0
UT,539,535544,48749504.0,113060330.0
NV,378,369766,44986137.0,19593913.0
IN,657,418917,40861599.0,54055152.0
OK,466,268498,38078172.0,209882126.0
OR,678,338912,37891344.0,67237980.0
SC,524,231839,34305825.0,749393018.0
PR,313,220587,34190204.0,630013894.0
KY,482,276530,33150773.0,67736189.0
DC,380,250108,32226163.0,58419211.0
KS,410,231023,24199052.0,1001412221.0
IA,494,261917,23406247.0,1202662018.0
ID,219,354418,20138972.0,543074640.0
AL,549,411389,17688920.0,1867378930.0
ME,205,291410,17507268.0,583483031.0
AR,312,244598,17443412.0,459742456.0
NH,188,89351,14861527.0,28418895.0
NE,265,127480,14744153.0,180793140.0
MS,218,146873,14711566.0,306991807.0
NM,143,102201,9387794.0,92861856.0
RI,195,264197,9164120.0,233911492.0
HI,253,166842,8540039.0,188504986.0
MT,112,57185,7697254.0,41751260.0
ND,154,206469,7223623.0,297769478.0
DE,113,48892,7143982.0,12700889.0
WV,81,41484,6265002.0,4847942.0
AK,60,36947,5300166.0,21206717.0
SD,146,57621,5152483.0,295659095.0
VT,75,23129,3078330.0,3053949.0
WY,20,7719,688827.0,533770.0
GU,17,42302,256008.0,0.0
VI,3,435,188079.0,558719.0
PW,1,41,15205.0,0.0
