size_band,fund_type,n_plans,n_participants,total_admin_usd,admin_per_p_p10,admin_per_p_p25,admin_per_p_p50,admin_per_p_p75,admin_per_p_p90,admin_per_p_mean,p75_over_p25_ratio,excess_above_p25_usd,excess_above_p50_usd,excess_above_p75_usd
1_micro (<100),fully_insured,76,5605,5446329.0,103.17402061855671,298.4920962199312,581.7138716356108,1230.663108791904,2524.6388888888887,1098.7214817435056,4.122933653443011,4047453.786941581,3131890.766045549,1991236.9218848827
1_micro (<100),mixed,1269,68388,70311828.0,279.5931997571342,644.8315789473684,851.7575757575758,1158.2191780821918,1528.7462978723406,1073.2700027498627,1.7961576571248017,31317201.294736844,22396120.3030303,14959731.219178084
1_micro (<100),self_insured,32,1898,2413464.0,122.16866566716642,610.4561422889968,1108.4945652173913,2217.6823308270677,3965.285638297873,1632.5753684664264,3.6328282692210045,1478993.944874061,1052107.1195652175,499936.8439849624
2_small (100-499),fully_insured,653,150511,93989594.0,29.390055248618786,139.92567567567568,391.1326530612245,834.8377483443709,1343.4272913595341,639.3669598944164,5.966294208072186,76976362.25675675,54543144.49999999,30900749.735099338
2_small (100-499),mixed,2864,695562,631870175.0,79.0527077922078,325.475065521258,671.256901354945,1104.0875833951075,1820.566388859304,924.1197774785007,3.3922339999436772,440847530.28039455,293026054.90752816,187965694.2086731
2_small (100-499),self_insured,214,49179,33095369.0,59.144588859416444,117.84394974840201,397.8496940747102,1007.2421108932073,1655.0712923020847,704.0316488558423,8.547253491109888,27975099.38212295,20012666.89421425,9376074.071313962
3_medium (500-2499),fully_insured,209,221794,134118672.0,21.648628086523964,105.02831715210355,433.81904761904764,771.2049335863378,1185.6230652832699,591.55896800556,7.342828624679071,114636746.64886731,69309642.98095238,40547016.91081593
3_medium (500-2499),mixed,1806,1993045,1909847791.0,90.34333126122392,362.4152953724261,682.5654824201245,1145.3447167037357,1838.090578933099,941.8377582923044,3.1603100954300336,1291999642.3428018,887703542.2545996,545972097.3615186
3_medium (500-2499),self_insured,132,163198,157242068.0,51.03397854617367,185.49819743129905,453.8921748287389,1107.4058700838714,1686.3735119652915,874.0831741453144,5.969900977037845,131698995.51321125,103791059.3342702,61867202.77277472
4_large (2500-9999),fully_insured,38,172475,88036129.0,60.761254719320604,214.22560274403762,350.8763304520128,745.5480447515724,1024.277692835753,531.8065874829488,3.4802004765152783,56577173.23276458,42905368.08230397,21465127.22818123
4_large (2500-9999),mixed,531,2581832,2483424686.0,83.49571020019066,373.60530358311274,711.0226732887065,1104.9860035515112,1869.626728110599,1001.085343823895,2.9576293295464273,1662978003.501985,1127481228.3655796,759247495.750031
4_large (2500-9999),self_insured,61,300285,216757763.0,24.164556962025316,46.09265571738457,398.49917136228044,1060.443046446259,1627.765737051793,708.9023910508002,23.006768213754633,204431778.02448097,141301314.93768644,66858327.78757864
5_jumbo (10000+),mixed,260,15407680,6296278253.0,37.41871974823638,221.16855233940166,551.2176260742917,908.835104876616,1387.1314570912448,748.3089792409979,4.109242002370809,4391140056.329594,2715885214.2283096,1638496185.3229842
5_jumbo (10000+),self_insured,25,1729242,264995708.0,10.732929878259704,30.859791317309483,479.09641970932296,1038.0631551589709,1195.7272413263477,537.3788863878394,33.63804843932025,246982950.07592696,123046549.05707195,15015098.33674087
