state_postal,state_name,state_lv_pymt,bene_ffs,per_bene_lv_pymt
NY,New York,166605259.0339711,1561135,106.72059689518915
NJ,New Jersey,90601140.39857325,885594,102.30550387488313
MD,Maryland,53511132.385105096,542753,98.59205271109528
AZ,Arizona,61542187.60985462,644699,95.4587917925336
CA,California,258572312.62192896,2741578,94.31513990188459
KS,Kansas,23292988.601071615,251822,92.49783021766015
DE,Delaware,10164227.090506565,112190,90.5983339915016
FL,Florida,187628155.13635468,2150878,87.23328572627302
TX,Texas,164802050.87523317,2038500,80.84476373570428
WY,Wyoming,2989114.5614943523,37831,79.01230634914097
LA,Louisiana,31854295.76105906,432364,73.67471797156807
MS,Mississippi,22042669.464476682,312203,70.60364398957307
NV,Nevada,20034355.630884074,284188,70.49683882107645
GA,Georgia,57350549.22879443,816919,70.20347088119438
IL,Illinois,74785445.58306034,1073479,69.66642624872992
SC,South Carolina,37482734.94657411,542009,69.15518920640451
AL,Alabama,31951006.12454848,467239,68.38257535126237
MN,Minnesota,30170604.577967726,444577,67.86361997576961
AR,Arkansas,24624913.996542193,398105,61.85532459160822
OK,Oklahoma,26045895.741487484,423601,61.48686084661624
NC,North Carolina,66042808.141916685,1077228,61.308105750980005
CT,Connecticut,18199209.443575326,311048,58.50932796087847
MA,Massachusetts,47597559.747526914,817393,58.23093633971286
CO,Colorado,26062194.534515552,470911,55.344204179803725
VA,Virginia,51984831.458834186,952764,54.562128143836446
MI,Michigan,46402131.49453542,868680,53.41682955119885
AK,Alaska,5060441.67298824,95149,53.18439156468528
ID,Idaho,6315099.916500513,119396,52.89205598596698
OH,Ohio,55900952.54251378,1060249,52.72436243044208
PA,Pennsylvania,70044142.91545546,1373648,50.99133323490113
SD,South Dakota,7807865.825505095,153313,50.927617524313625
NE,Nebraska,12859837.842484016,254621,50.50580212348556
TN,Tennessee,42068794.582980864,848066,49.60556676364913
WA,Washington,36694558.37599821,761521,48.185878493171174
IN,Indiana,33517836.456436485,703118,47.67028643333905
RI,Rhode Island,5064664.630480132,109701,46.16789847385286
WV,West Virginia,8789593.036470957,192569,45.64386290872859
KY,Kentucky,20960352.766049087,467220,44.86184830711247
WI,Wisconsin,24221473.81047755,557835,43.420498553295424
HI,Hawaii,4693778.637993911,108108,43.4174958189395
UT,Utah,10764975.844986565,252554,42.624451978533564
IA,Iowa,16521777.170990147,401940,41.10508327359842
ND,North Dakota,5608835.140005358,143536,39.07615608631533
MO,Missouri,33316618.13806379,869210,38.32976856923389
NM,New Mexico,6705649.174969535,181993,36.8456433762262
OR,Oregon,16198196.935479326,444914,36.40747860368369
NH,New Hampshire,7387220.839492406,208282,35.46739919672562
MT,Montana,6180158.581006318,200948,30.75501413801739
ME,Maine,4083207.072504451,183929,22.199909054605044
DC,District of Columbia,6674009.590971222,330510,20.19306402520717
VT,Vermont,1623183.2320018415,101452,15.99951929978553
