measure_key,weighted_commercial_mult,weight_total
arth,1.4215253354962067,1.0
backscan,1.628180693473562,1.0
bmd,1.5483871467534867,0.9999999999999999
cea,2.0037590273447865,1.0
cerv,1.2958979016911836,1.0
cncr,1.3984068472510618,1.0000000000000002
colon,1.4267808096892431,1.0
ctdasym,1.6371491220554444,1.0
ctdsync,1.6371491220554444,1.0
eeg,1.5110142271811342,1.0
head,1.900084967010597,0.9999999999999998
homocy,1.052431223575795,1.0000000000000002
hyperco,1.0355965365626074,1.0
ivc,1.8980622528453903,1.0
pci,1.9098004735048069,1.0
pft,1.4880142767912798,1.0
plant,1.5371382031023044,1.0
preopec,1.660960696654386,1.0
preopst,1.5293961549926003,1.0
preopx,1.43,0.0
psa,1.1181849087507592,1.0000000000000002
pth,1.0859889438203918,1.0
renlstent,1.716132895221984,1.0
rhcath,2.002787678852746,1.0
rhinoct,1.7676157553165135,0.9999999999999999
spinj,1.3787997632552726,1.0
stress,1.5293961549926003,1.0
sync,1.900084967010597,0.9999999999999998
t3,1.088483454796047,1.0
vert,1.43,0.0
vitd,1.43,0.0
